Fecha,Hora,Modo,Puntaje,Duracion_Total
2025-12-17,17:45:35,practice,100,N/A
2025-12-17,17:48:51,Evaluación,78,N/A
2025-12-17,17:54:13,Práctica,100,N/A
2025-12-17,23:13:43,Evaluación,77,N/A
2025-12-17,23:17:56,Evaluación,77,N/A
2025-12-17,23:24:14,Evaluación,51,N/A
2025-12-17,23:48:04,Práctica,100,N/A
2025-12-17,23:56:26,Demostración,100,N/A
2025-12-18,00:33:48,Evaluación,78,N/A
2025-12-29,21:30:26,Evaluación,65,N/A
2026-01-07,14:37:36,Práctica,100,N/A
2026-01-08,21:23:03,Práctica,100,N/A
2026-01-08,21:45:32,Evaluación,74,N/A
2026-01-08,21:54:14,Evaluación,52,N/A
2026-01-08,22:10:41,Evaluación,78,107,P3:8s(Correcto) | P4:16s(Correcto) | P5:37s(Correcto) | P6:10s(Correcto) | P7:19s(Correcto) | P8:0s(N/A)
2026-01-08,22:14:14,Evaluación,56,320,P3:20s(Correcto) | P4:21s(Correcto) | P5:23s(Correcto) | P6:16s(Correcto) | P7:50s(Correcto) | P8:47s(Correcto)
2026-01-08,22:17:56,Evaluación,78,193,P3:22s(Correcto) | P4:23s(Correcto) | P5:27s(Correcto) | P6:17s(Correcto) | P7:52s(Correcto) | P8:0s(N/A)
2026-01-08,22:25:14,Evaluación,78,209,P3:22s(Correcto) | P4:24s(Correcto) | P5:30s(Correcto) | P6:20s(Correcto) | P7:57s(Correcto) | P8:0s(N/A)
2026-01-08,22:30:45,Evaluación,78,178,P3:20s(Correcto) | P4:20s(Correcto) | P5:25s(Correcto) | P6:17s(Correcto) | P7:48s(Correcto) | P8:46s(Correcto)
2026-01-08,22:37:25,Evaluación,88,119,P3:18s(Correcto) | P4:17s(Correcto) | P5:23s(Correcto) | P6:19s(Correcto) | P7:17s(Correcto) | P8:23s(Correcto)
2026-01-08,22:39:39,Evaluación,88,98,P3:10s(Correcto) | P4:11s(Correcto) | P5:20s(Correcto) | P6:17s(Correcto) | P7:16s(Correcto) | P8:21s(Correcto)
2026-01-08,22:43:12,Evaluación,72,183,P3:59s(Correcto) | P4:13s(Correcto) | P5:8s(Correcto) | P6:52s(Correcto) | P7:20s(Correcto) | P8:29s(Correcto)
2026-01-08,23:10:36,Evaluación,65,288,P3:7s(Correcto) | P4:21s(Correcto) | P5:34s(Correcto) | P6:14s(Correcto) | P7:38s(Correcto) | P8:11s(Correcto)
2026-01-08,23:13:27,Evaluación,83,144,P3:11s(Correcto) | P4:27s(Correcto) | P5:35s(Correcto) | P6:21s(Correcto) | P7:21s(Correcto) | P8:27s(Correcto)
2026-01-08,23:26:29,Evaluación,82,183,P3:20s(Correcto) | P4:25s(Correcto) | P5:19s(Correcto) | P6:21s(Correcto) | P7:48s(Correcto) | P8:46s(Correcto),1
2026-01-08,23:33:31,Evaluación,82,127,P3:7s(Correcto) | P4:21s(Correcto) | P5:32s(Correcto) | P6:15s(Correcto) | P7:37s(Correcto) | P8:11s(Correcto),3
2026-01-08,23:36:51,Evaluación,82,127,P3:7s(Correcto) | P4:22s(Correcto) | P5:32s(Correcto) | P6:14s(Correcto) | P7:37s(Correcto) | P8:11s(Correcto),4
2026-01-12,13:06:01,Evaluación,82,263,P3:31s(Correcto) | P4:31s(Correcto) | P5:23s(Correcto) | P6:26s(Correcto) | P7:59s(Correcto) | P8:55s(Correcto),1
2026-01-26,21:42:57,Práctica,100,0,,Ninguno
2026-01-26,22:25:00,Práctica,100,0,,Ninguno
2026-07-10,16:15:34,Evaluación,48,186,P3:62s(Correcto) | P4:18s(Correcto) | P5:28s(Correcto) | P6:28s(Correcto) | P7:17s(Correcto) | P8:29s(Correcto),5
2026-07-10,16:19:42,Evaluación,48,184,P3:62s(Correcto) | P4:18s(Correcto) | P5:27s(Correcto) | P6:29s(Correcto) | P7:17s(Correcto) | P8:29s(Correcto),3
